1 50 256
2 50 545
3 50 665
4 50 488
5 50 205
6 50 178
7 50 148
8 50 86
9 50 59
10 50 39
11 50 31
12 50 18
13 50 16
14 50 16
15 50 6
16 50 3
17 50 2
18 50 1
19 50 5
20 50 1
25 50 1

1 100 446
2 100 1031
3 100 1310
4 100 988
5 100 415
6 100 259
7 100 305
8 100 187
9 100 101
10 100 82
11 100 71
12 100 41
13 100 40
14 100 28
15 100 24
16 100 16
17 100 8
18 100 3
19 100 5
20 100 6
21 100 6
23 100 1
24 100 2
26 100 2
30 100 1
31 100 1

1 150 632
2 150 1476
3 150 2038
4 150 1491
5 150 603
6 150 433
7 150 500
8 150 261
9 150 170
10 150 145
11 150 119
12 150 73
13 150 42
14 150 41
15 150 30
16 150 18
17 150 19
18 150 6
19 150 6
20 150 2
21 150 3
22 150 4
23 150 4
24 150 1
25 150 4
26 150 1
27 150 1
28 150 1
30 150 2
31 150 1

1 200 833
2 200 2008
3 200 2671
4 200 2040
5 200 769
6 200 617
7 200 651
8 200 344
9 200 273
10 200 217
11 200 165
12 200 92
13 200 63
14 200 64
15 200 29
16 200 14
17 200 25
18 200 16
19 200 7
20 200 10
21 200 6
22 200 6
23 200 3
24 200 1
25 200 2
27 200 2
29 200 1
30 200 1

1 250 1037
2 250 2442
3 250 3271
4 250 2495
5 250 956
6 250 750
7 250 837
8 250 427
9 250 302
10 250 242
11 250 213
12 250 114
13 250 91
14 250 67
15 250 50
16 250 39
17 250 20
18 250 17
19 250 16
20 250 7
21 250 7
22 250 5
23 250 4
24 250 4
25 250 2
26 250 3
27 250 3
28 250 1
29 250 2
30 250 1
31 250 2
33 250 1
34 250 1
37 250 1

1 300 1256
2 300 3041
3 300 4022
4 300 3033
5 300 1203
6 300 899
7 300 954
8 300 584
9 300 353
10 300 263
11 300 257
12 300 151
13 300 99
14 300 87
15 300 53
16 300 42
17 300 30
18 300 23
19 300 27
20 300 9
21 300 9
22 300 5
23 300 10
24 300 4
26 300 1
28 300 1
29 300 1
31 300 1
32 300 1
35 300 1

1 350 1422
2 350 3517
3 350 4743
4 350 3510
5 350 1479
6 350 1046
7 350 1120
8 350 668
9 350 448
10 350 341
11 350 258
12 350 161
13 350 121
14 350 120
15 350 77
16 350 38
17 350 31
18 350 32
19 350 17
20 350 10
21 350 12
22 350 6
23 350 4
24 350 2
25 350 6
26 350 4
27 350 2
